,source,band,zbound,zvalue
236,../1024/data/frame_00834,B7,zmin,0.0028221045728313273
237,../1024/data/frame_00834,B7,zmax,0.12719608304013552
238,../1024/data/frame_00834,B8,zmin,-0.008289046555018364
239,../1024/data/frame_00834,B8,zmax,0.015135579880566637
240,../1024/data/frame_00836,B3,zmin,12.95468807220459
241,../1024/data/frame_00836,B3,zmax,122.81167060472032
242,../1024/data/frame_00836,B4,zmin,50.66605758666992
243,../1024/data/frame_00836,B4,zmax,277.57741644745784
244,../1024/data/frame_00836,B5,zmin,1072.2752726343235
245,../1024/data/frame_00836,B5,zmax,3598.9927361271925
246,../1024/data/frame_00836,B6,zmin,26.90155623818909
247,../1024/data/frame_00836,B6,zmax,186.67380651145763
248,../1024/data/frame_00836,B7,zmin,0.010107525100767442
249,../1024/data/frame_00836,B7,zmax,0.11380737198321142
250,../1024/data/frame_00836,B8,zmin,-0.004943891779317087
251,../1024/data/frame_00836,B8,zmax,0.029301972066151327
252,../1024/data/frame_00838,B3,zmin,13.36406421661377
253,../1024/data/frame_00838,B3,zmax,178.998094335464
254,../1024/data/frame_00838,B4,zmin,45.82987594604492
255,../1024/data/frame_00838,B4,zmax,493.8461262483449
256,../1024/data/frame_00838,B5,zmin,1088.3132971316995
257,../1024/data/frame_00838,B5,zmax,6003.840554891657
258,../1024/data/frame_00838,B6,zmin,24.964253592363008
259,../1024/data/frame_00838,B6,zmax,482.37063354070875
260,../1024/data/frame_00838,B7,zmin,0.003095712580221264
261,../1024/data/frame_00838,B7,zmax,0.3634985795919142
262,../1024/data/frame_00838,B8,zmin,-0.009294093627643944
263,../1024/data/frame_00838,B8,zmax,0.078905197549753
264,../1024/data/frame_00839,B3,zmin,6.058074474334717
265,../1024/data/frame_00839,B3,zmax,76.1000110107006
266,../1024/data/frame_00839,B4,zmin,25.87127685546875
267,../1024/data/frame_00839,B4,zmax,171.66936252582235
268,../1024/data/frame_00839,B5,zmin,807.7187293021076
269,../1024/data/frame_00839,B5,zmax,2521.8935413511654
270,../1024/data/frame_00839,B6,zmin,15.80177061354346
271,../1024/data/frame_00839,B6,zmax,95.3407016725918
272,../1024/data/frame_00839,B7,zmin,-0.004299258079893276
273,../1024/data/frame_00839,B7,zmax,0.047126893379955924
274,../1024/data/frame_00839,B8,zmin,-0.0027772840561841694
275,../1024/data/frame_00839,B8,zmax,0.010943931501907771
276,../1024/data/frame_00840,B3,zmin,13.069064140319824
277,../1024/data/frame_00840,B3,zmax,254.96230969693357
278,../1024/data/frame_00840,B4,zmin,47.28456115722656
279,../1024/data/frame_00840,B4,zmax,747.8939755512903
280,../1024/data/frame_00840,B5,zmin,1191.8974921547292
281,../1024/data/frame_00840,B5,zmax,7787.571867921858
282,../1024/data/frame_00840,B6,zmin,37.07555113570315
283,../1024/data/frame_00840,B6,zmax,571.3449230065694
284,../1024/data/frame_00840,B7,zmin,0.009589583559530645
285,../1024/data/frame_00840,B7,zmax,0.8595639787745836
286,../1024/data/frame_00840,B8,zmin,-0.008560964496834515
287,../1024/data/frame_00840,B8,zmax,0.09587090877734313
288,../1024/data/frame_00841,B3,zmin,13.920381546020508
289,../1024/data/frame_00841,B3,zmax,280.55630608084573
290,../1024/data/frame_00841,B4,zmin,44.718894958496094
291,../1024/data/frame_00841,B4,zmax,857.6953911340701
292,../1024/data/frame_00841,B5,zmin,1120.984359116835
293,../1024/data/frame_00841,B5,zmax,8614.690185862632
294,../1024/data/frame_00841,B6,zmin,34.79708628790553
295,../1024/data/frame_00841,B6,zmax,484.9880570160256
